ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
S5NINk7i_FY,01/03/2026,https://www.youtube.com/watch?v=S5NINk7i_FY,Saúde mental na ciência: dicas para estudantes e pesquisadores | Science Arena Encontros – Ep. 5,Videos,,einstein_Parte_10,Sucesso,2026-06-23
cODt9Y8wX6U,28/02/2026,https://www.youtube.com/watch?v=cODt9Y8wX6U,Como liderar grupos de pesquisa: o que cientistas precisam saber | Science Arena Encontros – Ep. 2,Videos,,einstein_Parte_10,Sucesso,2026-06-23
uw7sq54b5wI,28/02/2026,https://www.youtube.com/watch?v=uw7sq54b5wI,Como a inteligência artificial impacta a carreira científica? | Science Arena Encontros – Ep. 1,Videos,,einstein_Parte_10,Sucesso,2026-06-23
8-2KciiT-6U,23/02/2026,https://www.youtube.com/watch?v=8-2KciiT-6U,Dengue: o que fazer ou não em caso de suspeita,Videos,,einstein_Parte_10,Sucesso,2026-06-23
AAq1c96-TeY,23/02/2026,https://www.youtube.com/watch?v=AAq1c96-TeY,"Sou Einstein, sou Etico.",Videos,,einstein_Parte_10,Sucesso,2026-06-23
lNhOLJ5dmw4,16/02/2026,https://www.youtube.com/watch?v=lNhOLJ5dmw4,Barriga inchada todo dia? Pode ser síndrome do intestino irritável,Videos,,einstein_Parte_10,Sucesso,2026-06-23
I-9PGKd9r1s,10/02/2026,https://www.youtube.com/watch?v=I-9PGKd9r1s,Inovação e Tecnologia no Cuidado Público | Tem Einstein no SUS - Episódio 4,Videos,,einstein_Parte_10,Sucesso,2026-06-23
CluF1Xk41Jg,09/02/2026,https://www.youtube.com/watch?v=CluF1Xk41Jg,Como começar a correr?,Videos,,einstein_Parte_10,Sucesso,2026-06-23
VMrjGK4EMoo,02/02/2026,https://www.youtube.com/watch?v=VMrjGK4EMoo,Uma taça de vinho por dia faz bem? Mitos e verdades sobre bebedeira,Videos,,einstein_Parte_10,Sucesso,2026-06-23
ENeEM33tOJA,28/01/2026,https://www.youtube.com/watch?v=ENeEM33tOJA,Uma gestão focada em propósito | 70 Anos e Contando - Ep. 13,Videos,NA,einstein_Parte_10,Sucesso,2026-06-23
JQPHJ0IWlS8,26/01/2026,https://www.youtube.com/watch?v=JQPHJ0IWlS8,"A rotina perfeita de skincare, segundo dermatologista do Einstein",Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
gyLnSeOIxxY,19/01/2026,https://www.youtube.com/watch?v=gyLnSeOIxxY,Videocast especial | Overview ASH: avanços científicos e a contribuição do Einstein,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
Nzs_h1jf4iI,19/01/2026,https://www.youtube.com/watch?v=Nzs_h1jf4iI,Faz sentido tomar remédio para emagrecer? Especialista responde,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
8UsYn6fD5tQ,13/01/2026,https://www.youtube.com/watch?v=8UsYn6fD5tQ,Cuidado humanizado no SUS | Tem Einstein no SUS - Episódio 3,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
UqxbuU6hKE8,12/01/2026,https://www.youtube.com/watch?v=UqxbuU6hKE8,Suar demais: saiba o que pode ser,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
OhhKD1OWBi4,05/01/2026,https://www.youtube.com/watch?v=OhhKD1OWBi4,Fazer detox é saudável? Especialista do Einstein explica,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
HLlC2pQSlTU,31/12/2025,https://www.youtube.com/watch?v=HLlC2pQSlTU,Como construir uma cultura com propósito | 70 Anos e Contando - Ep.12,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
pZ2Cm2cT1CY,21/12/2025,https://www.youtube.com/watch?v=pZ2Cm2cT1CY,"Diversidade, Equidade e Inclusão | Histórias que Inspiram – Especial Aniversário do Programa DEI",Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
SYO-BS-dec0,15/12/2025,https://www.youtube.com/watch?v=SYO-BS-dec0,O que os sonhos nos dizem? Neurologista explica,Videos,NA,einstein_Parte_11,Sucesso,2026-06-23
